key,path,notext
1gWKUBGm4smIme0UcgeaGm,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!a {mollenkamp_paradigms_2014} PARADIGMS OF MUSIC SOFTWARE DEVELOPMENT.pdf",
4LeaoXEJ6wO02quKCq4OSw,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!a {solodkii_envelope_2015} Envelope Detection Algorithm for an Amplitude-Modulated Random Signal.pdf",
2tYSMLnzL2ia2sscSK8mAw,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!a {yun_designing_2013} Designing Virtual Instruments for Computer Music.pdf",
6Q8POkE6iWKAOSsKeGcogq,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!b {larson_calculus_2010} Calculus of a single variable.pdf",
7r4NoFzoI0WYYAusSy4meQ,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!b {meyer_digitalization_2019} Digitalization in Industry.pdf",
5NDsglliMM4e4qO0aayCuB,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!b {mogensen_introduction_2011} Introduction to Compiler Design.pdf",
5vcUFMixCEiC8yo0WSgaAn,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!b {shonkwiler_introduction_2006} Introduction to parallel and vector scientific computing.pdf",
4ZhhYrpC7uo8GSe2KeuEIA,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\!r {trajkovik_virtual_2014} Virtual Studio Technology inside Music Production.pdf",
4uBAivfk9G6AIYCCwuo8uF,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New\2013 Virtual Studio Technology and Its Application in Digital Music Production - G.Tanev and A. BoЕѕinovski.pdf",
30qruQA1F6M4A2CyO6KGUN,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!a {2011_martin_using} Using Alpha Shapes to Approximate Signal Strength Based Positioning Performance.pdf",
4JQdcIwZbqO28qGiwWkQAP,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!a {2015_navas_etal_lerch} The Lerch transcendent from the point of view of Fourier analysis.pdf",
EZr2DH0AzAGMImQCyaQal,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {1986_olver_etal_nist} NIST Handbook of Mathematical Functions Rainbow over Woolsthorpe Manor.pdf",
X1rq2QMdQQmcE2ekUSI2p,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {1987_press_etal_numerical} Numerical Recipes.pdf",
6sfSqfOwzCOm8IkOeQ2Cak,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {1996_hayes1} Statistical Digital Signal Processing and Modeling.pdf",True
1Gz4upz4fS2CcIm8CWosKY,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2005_dayan_etal_theoretical} Theoretical Neuroscience.pdf",
2X74ZAJVduYS2sqcwA8Ko1,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2009_hastie_etal_elements1} The Elements of Statistical Learning Data Mining Inference and Prediction.PDF",
1x5EAZ7EFycO2IcCGEAkwo,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2011_veselic_damped} Damped Oscillations of Linear Systems.pdf",
1S8omap8QwuyAgCyE0G6Wx,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2017_gensler_introduction} Introduction to Logic.pdf",
25tJbZ8oIYGSsmiOykO62Z,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2017_heizer_etal_operations} Operations Management.pdf",
3rDNwFtCsMKy0ew26Ew6Yl,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2018_bennett_science} The Science of Musical Sound.pdf",
3xdPgrMOM8YaCImAgeUs6N,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\!b {2019_averbuch_etal_spline} Spline and Spline Wavelet Methods with Applications to Signal and Image Processing.PDF",
4TEoI89D1YowQuCiqMeuwj,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\1-curves.pdf",
3Bax6WMEqsaaUeaIKIWaQH,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\12_4_curvature.pdf",
1ficbJNqDCeuWuc6y6WM8L,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\1946 Note on multiply-infinite series - Sheffer.pdf",
6OcQUsCY6IM4Mi46WMK8KQ,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\1989 The condition of postmodernity an enquiry into the origins of cultural change - Harvey.pdf",
3iKcO6hkUEUsiuAyGes8k6,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\0 New BOOKS\1990MooreElements Elements of Computer Music.djvu"
