key,path,notext
51micURU4gWeyqGUOgEg4b,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2004 Statistics and Probability for Engineering Applications With Microsoft Excel - W.J. DeCoursey.pdf",
wfKZCkd6r6MKsiQqACMKu,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2004 Statistics demystified - Gibilisco.pdf",
2wAFvyyDcQiAoaQWyk0Sic,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2005 Cambridge Dictionary of Statistics - B. S. Everitt.pdf",
tPURxB2t6SOaAwsIsiUw4,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2005 Fundamentals of Probability and Statistics for Engineers - Yeh.pdf",
4DA05q5Re0wMeG4ec2OqCq,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2005 Statistics in plain English - Urdan.pdf",
3QHsjrn7QAugiCaciEOoyf,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2006 A Modern Introduction to Probability and Statistics - Understanding Why and How - Devore.pdf",
4xLMHZa8nYAuIwA2wKWqGg,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2006 Grinstead and Snell’s Introduction to Probability - Grinstead.pdf",
3SeQt7ahtueUiWK2syq2Mo,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2007 Understanding Probability_ Chance Rules in Everyday Life - Henk Tijms.pdf",
1stnssqduwcMU8sK8wOogp,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2008 Statistics In Nutshell - Sarah Boslaugh.pdf",
1AfTIrng4g0YIAGW6YOciF,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2009 Probability, Markov chains, queues, and simulation - the mathematical basis of - Stewart.pdf",
50wVkIAbc4S8QUowEAaiaM,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2010 Introduction to Statistical Quality Control - Douglas C. Montgomery.pdf",
2jnyTByMjikOgW4wkgGuUD,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2010 Statistics - Exercises - David Brink.pdf",
3Uzy4MFVAAKoowmKEw6yWl,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2012 Elementary statistics - picturing the world - Larson et al.pdf",
AJC15k44ms2IyMOWQCIQl,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2012 Estatística e Introdução à Econometria - Alexandre Sartoris.pdf",
3HoFilJx846yc4OWGE0ux,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2012 Probability and statistics - DeGroot et al.pdf",
7b11DsCZjigMkQs0UWWmU1,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2012AndersonStatistics Statistics for Business and Economics.pdf",
2rUgJWJ4RCaAk8gEuKsIiF,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2013 Applied Statistics and Probability for Engineers - Douglas C. Montgomery & George C. Runger.pdf",
1SIDmRWQiscyEOWM42ASOo,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2014 John E. Freund's mathematical statistics with applications - Freund et al.pdf",
5rpG0vP4R2OYkC0oqOUsC,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2015 OpenIntro Statistics - David Diez & Christopher Barr & Mine Çetinkaya-Rundel.pdf",
3mMMkBKDF6uQ0COqOiwYiL,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2017 Introdução Ilustrada a Estatistica - Costa, Sergio Francisco.pdf",
4Bxb7iRPpeWGK0uyMKaIAg,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Statistics\2019 Bayesian Statistics the Fun Way - Will Kurt.epub",
1jrc6oRKSGsA2s2oYMsKy1,"C:/Users/tesse/Desktop/Files/Dropbox/BIB\Non-Fiction\Strength of Materials\2010 Schaum's Outline Strength Of Materials - Nash et al.pdf",
